Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
MonotonÃ¯Â¿Â½,MonotonÃ¯Â¿Â½,Shakira,10/19/2022,USQX92204791,903,50.8,498744348,50326.0,"35,586,221",67.0,306510173,"4,113,572",,"1,230",38341,"87,435,327",78.0,"78,919",,49.0,"782,647",52.0,42356554,"5,230",,"913,182",,0
Aku Sayang Tapi Kau Tak Paham,Aku Sayang Tapi Kau Tak Paham,DJ Boneng,11/15/2023,GXBAV2345718,902,50.8,716453,22.0,"36,989",1.0,12045,174,"1,800,000","2,635,212",100001777,,0.0,,,0.0,,0.0,0,,,,,0
Thought You Should Know,Thought You Should Know,Morgan Wallen,5/6/2022,USUG12202977,906,50.7,340227841,40523.0,"6,267,614",73.0,137384524,"667,467","16,626","4,371,872",28018314,"196,339,404",18.0,"263,301",32,1.0,71,13.0,215914717,"34,298","4,421,163","857,184",,1
CAIRO,CAIRO,KAROL G,11/13/2022,USUM72220925,904,50.7,443093379,35995.0,"21,160,001",72.0,273852759,"1,690,512","625,126","42,735,677",600184949,"11,558,006",58.0,"52,189",125,26.0,"2,263,487",36.0,24842372,"3,643","1,653,982","1,174,788",,1
Cupido,Cupido,TINI,2/14/2023,USHR12245118,905,50.7,358240136,35751.0,"23,674,275",70.0,216226939,"844,073","827,378","189,261,300",-2147483648,"20,052,884",42.0,"33,335",317,33.0,"444,294",77.0,243118,294,,"556,867",,0
Raja Ji Ke Dilwa,Raja Ji Ke Dilwa,Pawan Singh,12/19/2023,INM1Q2326022,909,50.6,4283,1.0,3,,224819919,"1,249,285",,,0,"29,757,537",0.0,,,0.0,,0.0,0,,,,,0
Out thÃ¯Â¿Â½Ã¯Â¿Â½,LyfÃ¯Â¿,Yeat,9/9/2022,USUM72217063,907,50.6,338097605,85480.0,"16,509,403",73.0,54214841,"680,291","47,215","15,066,093",117839587,"18,856,089",14.0,63,37,1.0,"58,975",0.0,1750477,"4,925","26,616,347","664,273",,1
Winning Speech,Winning Speech,Karan Aujla,5/16/2024,AUBEC2438671,910,50.6,17917738,938.0,"5,754,144",73.0,28606016,"488,260",,,0,"19,904,542",22.0,37,,0.0,,14.0,0,,"97,075","44,138",,0
Home,Home - Single,Good Neighbours,1/17/2024,GBUM72400322,911,50.6,205068203,19044.0,"62,137,392",,8916657,"104,172",,"1,489,700",24837700,"2,476,271",67.0,"22,019",535,36.0,"876,086",65.0,17230222,"2,283",,"606,973",,0
Sobrio,Sobrio,Maluma,7/8/2021,USSD12100322,908,50.6,600199930,66655.0,"24,281,295",64.0,743954914,"2,817,472","189,200","19,480,120",254681143,"484,483,790",95.0,"45,992",66,26.0,"1,933,432",59.0,41992168,"9,863",,"1,823,474",,0
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,6/2/2023,USUM72308540,913,50.5,247682011,67166.0,"13,150,883",72.0,81060467,"925,753","13,500","6,210,382",38882669,"703,035",51.0,"3,710",,9.0,"44,406",5.0,665747,"2,700",,"1,390,039",,0
Praise The Lord (Da Shine) (feat. Skepta),TESTING,A$AP Rocky,5/25/2018,USRC11800930,916,50.5,1244981489,295646.0,"48,300,175",78.0,847656575,"6,337,444","106,923","60,624,218",650317525,"165,012,134",110.0,24,,60.0,"282,248",29.0,29244476,"21,682",,"6,227,926",,1
Se AcabÃ¯Â¿Â½Ã¯Â¿Â½ la Cuaren,Viva el Perreo,Jowell & Randy,8/6/2020,QM6P42086452,915,50.5,73468394,23284.0,"4,240,574",51.0,73136867,"889,596","10,152,900","212,959,708",-2147483648,996,11.0,"4,391",73,5.0,"45,642",0.0,12140646,"6,751","1,635,079","1,057,655",,1
Look Back At It,Look Back At It,A Boogie Wit da Hoodie,12/7/2018,USAT21812667,912,50.5,769061748,136145.0,"21,910,460",73.0,233288549,"2,397,744","202,814","33,604,598",250645860,"39,277,808",49.0,"91,002",329,17.0,"25,856",15.0,164836824,"131,521","95,216,986","6,255,853",,1
End of Beginning,DECIDE,Djo,9/16/2022,GBKPL2205058,918,50.5,710784872,64517.0,"191,969,474",90.0,44322144,"594,352","129,300","118,218,973",1027806256,"58,700,775",149.0,"94,468",501,133.0,"18,315,130",107.0,4025966,"5,291",,"3,343,993",,0
K-POP,K-POP (Chopped & Screwed),Travis Scott,7/18/2023,USSM12305652,917,50.5,285481590,62715.0,"24,530,922",68.0,40688228,"817,018","4,427","3,170,160",129035232,"331,318,025",46.0,"15,660",347,39.0,"587,945",37.0,4832444,"3,721",,"808,863",,1
favorite,favorite - EP,Isabel LaRosa,3/29/2024,USRC12400507,919,50.5,123802404,7364.0,"40,769,771",82.0,21277734,"440,764",,"2,357,131",20879200,"126,759,586",43.0,"1,815",,45.0,"394,030",44.0,333441,463,,"1,040,640",,0
You & Me,JENNIE Special Single [You & Me],JENNIE,10/6/2023,KRA402300041,914,50.5,183134509,12210.0,"12,194,109",,164326447,"3,483,743","319,200","56,468,580",518880479,"1,663,397,140",15.0,"6,316",35,12.0,"265,865",29.0,710467,737,,"345,892",,0
Tattoo,Tattoo,Rauw Alejandro,2/13/2020,QZHN21900087,922,50.4,341742937,53836.0,"9,757,013",58.0,1281379386,"7,138,308","2,132,748","73,202,309",650666266,"171,345,507",45.0,"11,458",117,15.0,"133,918",45.0,6119993,"4,186",,"713,534",,0
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),So Fresh The Hits of Summer 2011 + The Best Of 2010,Shakira,1/1/2010,USSM11001353,921,50.4,829352129,159324.0,"36,048,887",61.0,-2147483648,"23,606,907","2,250,587","417,038,157",-2147483648,"269,751,922",109.0,"22,773",43,96.0,"1,215,762",33.0,129133941,"641,400","542,470",,,0
LA RANGER (feat. Myke Towers),The Academy: Segunda MisiÃ¯Â¿Â½,The Academy: Segunda MisiÃ¯Â¿Â½,3/28/2024,USWL12400690,920,50.4,79786203,8939.0,"75,931,694",76.0,32616728,"216,834",,,0,"13,323,878",29.0,"4,514",9,25.0,"1,896,889",18.0,545735,194,,"236,268",,1
no tears left to cry,No Tears Left To Cry,Ariana Grande,4/20/2018,USUM71805289,923,50.2,1331371819,100503.0,"36,840,744",71.0,1426855223,"11,706,422","698,131","30,791,124",219920452,"1,865,455,236",143.0,"180,151",280,68.0,"735,006",67.0,181267091,"95,346",,"6,415,036",,0
I Fck Up,I Fck Up - Single,Prince Ayaya,10/28/2023,QZTBB2395775,924,50.1,0,44.0,223,,92839,"1,676","1,900,000","35,297,892",454838946,,2.0,,,0.0,,0.0,0,,,"238,732",,1
Upside Down,Upside Down,JVKE,8/18/2020,QM24S2008283,925,50.1,121391098,28044.0,"6,194,695",54.0,19099476,"465,493","10,318,700","164,374,946",1710758827,517,24.0,"1,790",122,5.0,"12,865",2.0,2403391,"3,205",,"1,184,072",,0
Crawling,Papercuts,Linkin Park,4/12/2024,USWB11201319,927,50.1,570290910,174.0,"525,584",,0,,,,0,,0.0,,,0.0,,0.0,0,,,,,0
Nosso Quadro,AgroPlay VerÃ¯Â¿Â½Ã¯Â¿Â½o V,AgroPlay,2/2/2023,BCA6L2300010,926,50.1,423018422,23872.0,"16,779,061",63.0,361813279,"1,727,192","288,613","21,077,364",277692228,"841,498,728",21.0,"17,320",,31.0,"6,708,107",12.0,0,,,"609,133",,0
APAGA EL CEL,APAGA EL CEL - Single,FloyyMenor,5/17/2024,QZMWW2484259,929,50.0,33245898,2343.0,"69,471,936",78.0,15755338,"203,277",,,0,"33,968,779",8.0,48,,3.0,"821,777",17.0,18555,27,"110,406","171,732",,1
Genda Phool (feat. Payal Dev),Genda Phool (feat. Payal Dev),Badshah,3/26/2020,INS172000876,930,50.0,86295058,7591.0,"3,058,131",55.0,1022945729,"6,994,273","5,444,473","128,000,154",1953198700,"197,996,975",7.0,961,,3.0,"2,467",7.0,519209,,,"193,040",,0
Pure Cocaine,Street Gossip,Lil Baby,11/30/2018,USUG11802285,928,50.0,652559944,170734.0,"17,463,888",74.0,317320682,"2,195,610","13,434","7,576,223",62837382,"7,241,389",21.0,36,1,8.0,"35,919",6.0,133082789,"60,741","97,169,903","1,456,448",,1
Espresso,Espresso,Sabrina Carpenter,4/12/2024,USUV72401318,933,49.9,536986458,1.0,2,,0,,,,0,,0.0,,,0.0,,0.0,0,,,,,1
Pretty Little Poison,Pretty Little Poison - Single,Warren Zeiders,3/17/2023,USWB12300190,932,49.9,142512477,23828.0,"9,380,794",72.0,56277759,"436,896","100,195","10,946,988",109014578,"727,842,762",14.0,"202,432",7,4.0,"177,002",18.0,71730881,"10,200","3,516,110","549,127",,0
CorazÃ¯Â¿Â½Ã¯Â¿Â½n Roto - R,CorazÃ¯Â¿Â½Ã¯Â¿Â½n Roto (Re,Brray,4/7/2023,USUM72305202,931,49.9,203212015,36459.0,"13,719,365",67.0,178302256,"677,453","827,700","24,190,123",359964365,"362,205,003",27.0,"12,434",,12.0,"1,842,000",3.0,127732,684,,"836,117",,1
Summer,Todo Exitos 2014 (Los NÃ¯Â¿Â½Ã¯Â¿Â½mero 1 Del A,Calvin Harris,1/1/2014,GBARL1400296,935,49.8,1497564072,255037.0,"105,180,321",81.0,1989930606,"8,740,440","1,293,032","116,032,171",1214191679,"322,680,506",225.0,"55,500",119,170.0,"1,740,585",36.0,332877611,"236,102",,"11,380,320",,0
Murder On My Mind,Murder On My Mind,YNW Melly,6/1/2018,QMCE31801827,934,49.8,1055558326,208777.0,"21,077,896",72.0,952644680,"8,820,105","251,510","44,341,738",350694950,"39,105,354",18.0,299,42,10.0,"8,074",0.0,112050497,"360,013",,"2,087,864",,1
You Are The Reason,You Are The Reason,Calum Scott,11/17/2017,USUM71710315,937,49.8,1042531612,119883.0,"31,204,776",73.0,1425188874,"10,037,251","1,513,635","180,692,022",1930209423,"1,629,614,639",70.0,"18,397",8,17.0,"70,256",8.0,292156274,"102,664",,"6,610,744",,0
Bad Liar,Bad Liar,Imagine Dragons,11/6/2018,USUM71816161,938,49.8,1056929910,134812.0,"31,112,950",74.0,908433462,"8,291,217","1,429,594","181,729,752",2058078137,"1,802,807,851",54.0,"118,378",37,31.0,"384,519",12.0,130853305,"106,853",,"11,123,506",,0
Wild Ones (feat. Jelly Roll),Wild Ones (feat. Jelly Roll),Jessie Murph,10/6/2023,USQX92304180,936,49.8,165347464,21942.0,"13,799,115",,43792907,"313,018","15,847","603,997",7395640,"446,100,137",18.0,81,314,19.0,"7,719,621",47.0,83726741,"27,712","1,638,261","354,116",,1
ROXANNE,ROXANNE,Arizona Zervas,10/10/2019,USSM11914320,939,49.7,1474968552,170595.0,"31,145,335",68.0,473697535,"5,439,167","1,513,097","565,840,941",-2147483648,"251,187,916",154.0,"271,106",583,78.0,"626,621",2.0,0,,,"4,556,715",,1
Softly,Making Memories,Karan Aujla,8/18/2023,CAW112300244,941,49.6,150073848,12340.0,"8,409,772",71.0,232389376,"1,637,844","70,200","8,387,797",169068391,"185,360,520",17.0,455,4,1.0,"9,696",20.0,46920,240,"2,691,081","270,472",,0
Tacones Rojos,Tacones Rojos,Sebastian Yatra,10/22/2021,USUM72119612,940,49.6,641756842,80542.0,"23,090,494",68.0,558812868,"2,887,216","328,394","77,295,943",855230861,"387,792,262",78.0,438,875,40.0,"686,168",85.0,9553399,"8,482","723,371","2,934,783",,0
Ride the Vibe,Ride the Vibe,NEXZ,5/20/2024,US5TA2400118,942,49.6,899456,147.0,"2,784,044",46.0,31419384,"139,393",,,0,"127,867",2.0,31,,1.0,"5,401",8.0,1012,2,,"8,204",,0
family ties,family ties - Single,Baby Keem,8/27/2021,USSM12105949,945,49.5,786298066,204148.0,"57,623,622",77.0,63403993,"557,514","55,168","80,647,899",532021210,"764,790",62.0,"21,505",354,20.0,"174,320",38.0,6412824,"10,269",,"1,938,598",,1
"Perdonarte, Ã¯Â¿Â½Ã¯Â¿Â½Para Q","Perdonarte, Ã¯Â¿Â½Ã¯Â¿Â½Para Q",Los Ã¯Â¿Â½Ã¯Â¿Â½ngeles Az,5/23/2024,MX1722401778,943,49.5,19514243,1329.0,"42,180,412",75.0,17545232,"195,611",,,0,"16,582,955",16.0,"1,344",,16.0,"378,750",10.0,181212,14,,"48,790",,0
Whatever It Takes,Whatever It Takes,Imagine Dragons,5/9/2017,USUM71703515,944,49.5,1257258072,156442.0,"33,271,283",76.0,1192880501,"7,815,307","202,700","27,054,065",340416328,"158,079,968",86.0,"148,594",260,37.0,"367,136",9.0,359252086,"209,287",,"12,160,416",,0
POP!,IM NAYEON,NAYEON,6/24/2022,US5TA2200041,946,49.4,296828933,25748.0,"12,535,016",69.0,407776018,"8,669,558","1,937,239","548,973,446",-2147483648,"240,970,840",18.0,"3,491",83,3.0,"17,624",26.0,1106839,"2,484",,"445,036",,0
Into the Unknown,New Horizons,ALPHA 9,1/13/2023,GBEWA2206731,948,49.4,78985,67.0,"5,674",9.0,621561070,"3,598,710",,,0,"45,996,393",0.0,15,,0.0,,0.0,13012,,"6,099",,,0
Lonely At The Top,Work Of Art,Asake,6/15/2023,USUYG1490059,947,49.4,84655991,13107.0,"7,678,884",69.0,75076449,"510,479","1,513,241","16,795,588",382487197,"72,422,815",36.0,"11,861",89,6.0,"164,069",26.0,779288,650,"1,367,844","2,361,169",,0
ecstacy (slowed),ecstacy (slowed),SUICIDAL-IDOL,6/6/2023,QZK6F2330686,949,49.3,242661037,43999.0,"9,893,510",74.0,51722759,"783,780","499,500","69,556,599",646143014,"460,974",5.0,,948,1.0,"9,696",1.0,496607,"1,659",,"2,552,266",,1
Si Se Da,Si Se Da,Myke Towers,2/26/2019,QM4TX1920224,952,49.3,317223968,47247.0,"7,578,697",54.0,1867482161,"5,147,665","15,153","1,209,967",14034398,"133,593,097",21.0,"5,622",9,6.0,"74,161",38.0,79260855,"11,001",,"1,796,737",,1
Holy (feat. Chance The Rapper),Holy,Justin Bieber,9/18/2020,USUM72017013,950,49.3,787546548,110389.0,"44,478,175",63.0,396861382,"6,241,346","193,594","69,149,295",561056269,"1,394,478,465",178.0,"399,515",339,51.0,"257,512",54.0,85450020,"45,037",,"3,589,419",,0
No Role Modelz,2014 Forest Hills Drive,J. Cole,12/9/2014,USQX91402598,955,49.3,-2147483648,403355.0,"73,668,045",81.0,656310159,"4,852,226","744,556","138,864,977",885273359,"184,893,947",115.0,"11,860",61,41.0,"370,317",21.0,657042048,"203,470",,"5,513,979",,1
Symphony (feat. Zara Larsson),Symphony (feat. Zara Larsson),Clean Bandit,3/16/2017,GBAHS1700199,954,49.3,1456894713,141677.0,"49,274,720",71.0,1523128022,"9,966,382","707,674","33,256,295",386013926,"1,419,194,972",173.0,"84,752",17,82.0,"706,468",41.0,76856978,"79,418","18,687,841","9,434,537",,0
Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),Lady Gaga,5/22/2020,USUM72004304,951,49.3,1060378159,104647.0,"55,948,663",68.0,514581598,"6,465,409","442,243","80,912,710",538854965,"382,160,207",320.0,"354,978",438,143.0,"2,320,730",105.0,62220803,"71,438",,"3,888,061",,0
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)","Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status,7/27/2023,GBUM72306881,953,49.3,118804209,57036.0,"35,240,391",71.0,16072797,"207,183",,,0,"125,042",29.0,"6,016",,14.0,"2,609,137",34.0,154435,495,"6,256,341","908,754",,0
10:35,10:35,TiÃ¯Â¿Â½Ã¯Â¿,11/3/2022,CYA112001130,958,49.2,539802784,82093.0,"99,413,749",74.0,94379586,"652,780","11,473","5,762,615",119710596,"487,764,676",187.0,"60,512",265,80.0,"1,747,753",64.0,43487605,"7,144",,"2,064,142",,0
One Right Now (with The Weeknd),One Right Now,Post Malone,11/5/2021,USUM72120404,963,49.2,631789333,99512.0,"27,179,361",65.0,182180447,"1,908,939","30,141","12,902,227",181078488,"954,672,882",89.0,"255,213","1,005",25.0,"858,001",34.0,103350630,"11,558",,"2,041,348",,1
A Thousand Years,A Thousand Years,Christina Perri,10/18/2011,USAT21102141,964,49.2,1654956613,177834.0,"80,060,384",77.0,-2147483648,"19,870,174","4,479,720","848,530,861",-2147483648,"1,579,447,076",94.0,"88,803",66,66.0,"114,244",46.0,0,,68,"15,974,659",,0
Secreto,Secreto,Anuel AA,1/15/2019,USXDR1900020,957,49.2,759388276,68502.0,"18,835,572",65.0,1595484197,"8,161,642","609,042","40,357,374",543804719,"306,014,364",40.0,159,15,43.0,"358,784",21.0,147935567,"36,380","3,064,688","1,317,266",,0
Toda Remix - Remix,Toda (Remix),Alex Rose,6/1/2018,QM4TX1838235,959,49.2,482021697,68578.0,"13,363,939",66.0,1965829285,"5,786,525","696,400","34,322,459",289741256,"30,691,906",25.0,"2,857",,5.0,"41,009",14.0,67068115,"20,616",,"2,148,531",,1
I Hate U,I Hate U - Single,SZA,12/3/2021,USRC12103605,956,49.2,456871037,71261.0,"34,724,014",66.0,142820854,"1,393,679","877,769","211,488,170",1676387442,"85,726,782",105.0,"136,784","1,324",29.0,"699,151",19.0,92133806,"29,242","15,212,609","1,854,776",,1
Better Now,beerbongs & bentleys,Post Malone,4/27/2018,USUM71805170,962,49.2,1953403531,239092.0,"47,844,195",74.0,48443287,"734,538","104,133","9,802,093",97061584,,144.0,"350,458",203,59.0,"582,382",79.0,467402120,"251,025",,"8,827,325",,1
Call Me Maybe,Kiss,Carly Rae Jepsen,1/1/2012,CAB391100615,960,49.2,1394048309,211162.0,"114,187,117",77.0,2007334200,"12,223,928","418,014","40,431,475",367016981,"1,811,023,591",222.0,"200,327",967,145.0,"1,939,414",88.0,401427022,"1,189,600",,"14,252,942",,0
Pobre CorazÃ¯Â¿Â½,Pobre CorazÃ¯Â¿Â½Ã¯Â¿Â½n (En Vivo) [feat. Onda Sabanera] - Si,Ke Personajes,3/2/2023,QZN882353309,965,49.2,187127704,18938.0,"5,235,073",65.0,425484500,"857,540","8,176","2,607,049",30085568,"188,119,455",8.0,"5,686",,5.0,"349,806",7.0,0,,,"432,240",,0
Piece Of Your Heart,Piece Of Your Heart,MEDUZA,2/1/2019,DEUM71807719,966,49.2,995452298,188608.0,"44,047,615",65.0,464369299,"4,586,152","742,947","75,493,341",1282810923,"34,091,844",255.0,"171,176",196,166.0,"2,039,570",43.0,46973428,"14,833","26,135,531","14,464,887",,0
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Varun Jain,5/22/2023,INH102307782,961,49.2,203379355,14067.0,"8,370,027",63.0,361600873,"2,581,315",,,0,"110,775,514",16.0,"1,319",,0.0,,12.0,0,,,"376,272",,0
Mi Kryptonita,Talento De Vida,Doble ONE Flow Letal,10/11/2023,QZTB72322595,967,49.1,140356426,9363.0,"5,604,254",,87822276,"963,707","849,600","119,963,984",1057039331,"261,296,658",4.0,4,,6.0,"5,463,321",0.0,131941,873,,"961,258",,0
Ram Pam Pam,Ram Pam Pam,NATTI NATASHA,4/20/2021,USB272100106,968,49.1,257167813,38896.0,"13,810,240",55.0,794011391,"4,280,865","1,887,815","202,617,114",-2147483648,"350,033,186",69.0,"28,737",176,20.0,"116,868",35.0,24761052,"5,667",,"1,621,368",,1
"Milo J: Bzrp Music Sessions, Vol. 57",en dormir sin Madrid,Bizarrap,10/3/2023,UYB282301041,970,49.0,181516735,25092.0,"10,823,656",,155509942,"2,922,165",,,0,"53,784,475",7.0,"1,849",,9.0,"401,523",15.0,62580,76,,"194,645",,0
Stuck In The Middle,BABYMONSTER Pre-Release Single [Stuck In The Middle],BABYMONSTER,2/1/2024,KRA402400004,972,49.0,21167612,1285.0,"2,035,557",,147951356,"1,755,973","16,500","8,382,900",70103300,"80,502,081",5.0,284,,0.0,,8.0,0,,,"47,782",,0
No Se Va,No Se Va (En Vivo) - EP,Grupo Frontera,4/28/2022,QZHN72212529,973,49.0,582023797,48881.0,"17,367,502",70.0,293059162,"1,383,526","1,100,596","64,787,440",805988782,"40,039",26.0,"18,750",222,6.0,"53,465",16.0,84722896,"25,730","192,143","1,946,266",,0
Aesthetic,Aesthetic,Xilo,2/14/2020,QZFZ22071847,969,49.0,27312761,9048.0,"2,060,708",38.0,3538161,"118,805","12,562,825","754,488,882",-2147483648,"86,473,112",6.0,,239,2.0,"3,328",0.0,174203,"2,348",,"26,178",,1
get him back!,GUTS,Olivia Rodrigo,9/8/2023,USUG12304099,971,49.0,287724574,25460.0,"15,517,447",,54771296,"818,500","485,830","47,532,963",469327093,"1,298,782,751",47.0,56,34,29.0,"1,998,239",43.0,6371213,"20,559","910,103","770,996",,1
LA PEOPLE II,LA PEOPLE II,Peso Pluma,3/21/2024,QM4TX2458976,978,48.9,123243341,5069.0,"34,480,158",79.0,53762979,"472,820",,"171,600",3100000,,13.0,8,,4.0,"1,081,795",14.0,2185039,"1,024",,"121,403",,1
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Back To Black: Songs From The Original Motion Picture,Amy Winehouse,4/12/2024,GBCAD2000628,974,48.9,562814594,17.0,"25,810",,0,,,,0,,0.0,,,1.0,530,0.0,0,,,,,0
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401029,975,48.9,150693008,3273.0,"15,710,281",,15389385,"261,652",,"4,822",39100,,29.0,450,,4.0,"53,098",52.0,3131451,"12,957",,"49,802",,1
Your Love (9PM),Your Love (9PM),ATB,1/15/2021,DECE72003523,976,48.9,721002104,146298.0,"62,920,572",71.0,118729044,"952,700","25,400","5,772,644",81735548,"153,714,110",201.0,"361,427",220,115.0,"2,519,598",27.0,24235804,"2,394","5,026,745","7,799,522",,0
One Side,One Side,Iyanya,9/15/2022,ZA41S2225757,977,48.9,23823099,10859.0,"859,682",53.0,75987807,"365,743","4,024,066","59,428,340",1004679876,"42,569,293",3.0,"2,518",,0.0,,0.0,0,,,,,0
HEAT STICK,HEAT STICK,Shoreline Mafia,5/10/2024,USAT22402903,979,48.8,20538101,3675.0,"33,607,850",74.0,3575151,"101,311",,"20,600",108700,"381,728",23.0,370,5,5.0,"38,916",7.0,1637484,359,"1,415,426","75,399",,1
Photograph,x (Wembley Edition),Ed Sheeran,1/1/2013,GBAHS1400094,980,48.8,-2147483648,208671.0,"121,163,411",77.0,1884843329,"9,916,244","1,459,274","502,385,405",-2147483648,"1,706,776,803",249.0,"89,818",80,234.0,"603,824",54.0,450907868,"190,210","35,594,470","17,163,765",,0
Virginia Beach,For All The Dogs,Drake,10/6/2023,USUG12306066,981,48.8,165204421,38562.0,"6,636,362",,16599214,"126,612",,,0,"35,874",5.0,"1,751",,2.0,"1,924",8.0,5063703,"5,731","6,243,171","349,915",,1
Great Gatsby,Nostalgia,Rod Wave,9/15/2023,USQX92305201,982,48.7,66813186,11024.0,"4,487,030",,75881981,"409,473","4,842","4,543,062",34091093,"359,281,223",11.0,"1,245",29,3.0,"21,417",16.0,18521097,"26,354","13,491,731","395,093",,1
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",SofÃ¯Â¿Â½Ã¯Â¿Â½a R,2/16/2018,USWL11700238,983,48.7,667508675,78737.0,"29,292,148",61.0,1001147152,"7,847,053","7,162,351","628,778,954",-2147483648,"433,920,815",97.0,"36,727",152,63.0,"323,404",41.0,12798124,"11,917",,"8,994,016",,0
AteÃ¯Â¿Â½Ã¯Â¿Â½e DÃ¯Â¿Â½Ã¯,AteÃ¯Â¿Â½Ã¯Â¿Â½e DÃ¯Â¿Â½Ã¯,Mert Demir,9/22/2023,USA2P2346453,984,48.7,98395711,14727.0,"3,591,657",,198114786,"880,794",,"3,300,292",84398578,"107,323,281",10.0,"11,952",,2.0,"1,567,756",0.0,0,,,"1,134,279",,0
Until I Found You (with Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),Stephen Sanchez,4/22/2022,USUG12202266,986,48.6,1020452066,108274.0,"75,934,462",79.0,114404861,"1,372,385","228,100","129,184,868",1013000586,"995,903",45.0,"74,239",,27.0,"250,765",5.0,1435373,"6,073","3,198,903",,,0
Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,3/5/2021,USUG12101042,985,48.6,793287638,225513.0,"37,094,631",71.0,104966782,"872,923","36,542","45,722,496",319496635,"783,169",130.0,"18,714",82,21.0,"693,216",18.0,57284328,"23,173",,"2,221,501",,1
Jiwa Yang Bersedih,Jiwa Yang Bersedih - Single,Ghea Indrawari,5/18/2023,FRX452328816,987,48.4,229120157,11931.0,"7,972,917",69.0,136914720,"1,023,397","1,589,944","378,055,132",-2147483648,"45,212,529",6.0,"3,334",,0.0,,0.0,0,,,"154,129",,0
Coco Chanel,3MEN2 KBRN,Eladio Carrion,3/17/2023,QM4TX2344391,988,48.4,459282058,67717.0,"32,043,186",72.0,100210832,"673,502","49,000","17,997,404",147682062,"1,805,292",46.0,"24,347",102,13.0,"242,670",17.0,9497644,"3,142",,"742,228",,1
Calm Down Baby,Calm Down Baby - Single,DJ Laxman,1/12/2024,FR10S2458617,989,48.4,1389772733,1.0,1,,0,,,,0,,2.0,,,0.0,,0.0,0,,,,,0
At My Worst,The Prelude,Pink Sweat$,7/17/2020,USAT22003823,991,48.3,670245273,83819.0,"24,550,707",64.0,537033479,"4,862,491","3,893,052","155,783,189",1736930175,"10,765,679",58.0,"32,924",388,17.0,"104,909",8.0,1187501,"3,010",,"2,977,114",,0
TOO MUCH,TOO MUCH,The Kid LAROI,10/19/2023,USSM12307154,990,48.3,137894955,20037.0,"20,683,852",,45533851,"1,730,466","4,402","2,179,277",13108162,"1,665,204,683",37.0,"99,290",31,37.0,"404,042",39.0,2640092,369,"1,157,460","601,987",,1
Go Down Deh (feat. Shaggy and Sean Paul),Go Down Deh (feat. Shaggy and Sean Paul),Spice,4/30/2021,USVPR2100046,993,48.2,218431985,56998.0,"7,122,424",61.0,336505073,"3,901,948","3,595,260","338,445,934",-2147483648,"11,491,467",24.0,"20,192",98,10.0,"193,061",14.0,12362903,"6,285","2,388,111","6,024,636",,0
Cake By The Ocean - Cover,NEW TIK&TOK - BUZZ BEST -,MUSIC LAB JPN,6/7/2023,TCJPV2340543,"1,103",48.2,1611084670,0.0,,,0,,,,0,,0.0,,,0.0,,0.0,0,,,,,1
Miles On It,Miles on It,Marshmello,5/3/2024,QZZVQ2400059,992,48.2,41924126,3794.0,"124,369,916",79.0,4219901,"103,922",,,0,"237,146,592",87.0,"4,032",33,51.0,"8,224,597",91.0,9227545,"2,729","239,024","189,286",,0
El Caballito,El Caballito - Single,FARIANA,6/7/2024,QM6N22408548,994,48.2,184278,74.0,"5,010,610",42.0,0,,"63,000","14,587,439",205181975,,4.0,8,,0.0,,12.0,387,,,"2,840",,1
PICK UP THE PHONE (feat. Nate Dogg),PICK UP THE PHONE (feat. Nate Dogg),PAWSA,5/31/2024,GBCEN2400112,995,48.1,2284977,1425.0,"11,819,359",22.0,186215,"4,951",,,0,,13.0,243,,16.0,"206,878",24.0,0,,"1,035,215","44,984",,1
